slug,common,latin,status,hint_from_card_text,pest
nandina-domestica,Heavenly Bamboo,Nandina domestica,dealt,,
choisya-ternata,Mexican Orange Blossom,Choisya ternata,dealt,,
weigela-florida-nana-variegata,Variegated Dwarf Weigela,Weigela florida ‘Nana Variegata’,dealt,,
kniphofia-pyromania-orange-blaze,Red Hot Poker,Kniphofia 'Pyromania Orange Blaze',dealt,,
pennisetum-rubrum,Purple Fountain Grass,Pennisetum 'Rubrum',dealt,,
hydrangea-macrophylla-sweet-cupcake,Sweet Cupcake Hydrangea,Hydrangea macrophylla 'Sweet Cupcake',dealt,,
abelia-raspberry-profusion,Raspberry Profusion Abelia,Abelia 'Raspberry Profusion',dealt,,
cornus-kousa-flower-tower,Flower Tower Dogwood,Cornus kousa 'Flower Tower',dealt,,
ajuga-reptans-burgundy-glow,Burgundy Glow Bugle,Ajuga reptans 'Burgundy Glow',dealt,,
spiraea-double-play-doozie,Double Play Doozie Spirea,Spiraea 'Double Play Doozie',dealt,,
potentilla-fruticosa-pink-beauty,Pink Beauty Shrubby Cinquefoil,Potentilla fruticosa 'Pink Beauty',dealt,,
cercis-chinensis-avondale,Chinese Redbud,Cercis chinensis 'Avondale',dealt,,
prunus-lusitanica-angustifolia,Portuguese Laurel,Prunus lusitanica 'Angustifolia',dealt,,
salvia-blue-spire,Blue Spire Russian Sage,Salvia 'Blue Spire',dealt,,
mahonia-japonica,Japanese Mahonia,Mahonia japonica,dealt,,
leycesteria-formosa-golden-lanterns,Golden Lanterns Himalayan Honeysuckle,Leycesteria formosa 'Golden Lanterns',dealt,,
buddleja-pugster-orchid,Pugster Orchid Butterfly Bush,Buddleja 'Pugster Orchid',dealt,,
salix-integra-hakuro-nishiki,Flamingo Willow,Salix integra 'Hakuro-nishiki',dealt,,
plumbago-auriculata,Cape Leadwort,Plumbago auriculata,dealt,,
euonymus-japonicus-aureomarginatus,Golden Japanese Spindle,Euonymus japonicus 'Aureomarginatus',dealt,,
monarda-didyma-bubblegum-blast,Bubblegum Blast Bee Balm,Monarda didyma 'Bubblegum Blast',dealt,,
carpinus-betulus,Common Hornbeam,Carpinus betulus,dealt,,
elaeagnus-submacrophylla,Ebbinge's Silverberry,Elaeagnus ×submacrophylla,dealt,,
gunnera-manicata,Brazilian Giant Rhubarb,Gunnera manicata,dealt,,
acer-rubrum-october-glory,October Glory Red Maple,Acer rubrum 'October Glory',dealt,,
fatsia-japonica-tsumugi-shibori,Spider's Web Japanese Aralia,Fatsia japonica 'Tsumugi-shibori',dealt,,
griselinia-littoralis,New Zealand Broadleaf,Griselinia littoralis,dealt,,
indigofera-himalayensis-silk-road,Himalayan Indigo 'Silk Road',Indigofera himalayensis 'Silk Road',dealt,,
phalaenopsis-hybrid-group,Cascading Moth Orchid,Phalaenopsis Hybrid Group,dealt,,
viburnum-tinus-eve-price,Laurustinus 'Eve Price',Viburnum tinus 'Eve Price',dealt,,
paeonia-orange-victory,Orange Victory Itoh Peony,Paeonia 'Orange Victory',dealt,,
lavandula-stoechas-anouk-deluxe-purple,French Lavender 'Anouk Deluxe Purple',Lavandula stoechas 'Anouk Deluxe Purple',dealt,deer,
citrus-meyeri-meyer,Meyer's Lemon,Citrus × meyeri 'Meyer',dealt,,
euonymus-japonicus-green-spire,Green Spire Japanese Spindle,Euonymus japonicus 'Green Spire',dealt,,
ilex-crenata-jenny,Jenny Japanese Holly,Ilex crenata 'Jenny',dealt,,
cuprocyparis-leylandii-gold-rider,Gold Rider Leyland Cypress,× Cuprocyparis leylandii 'Gold Rider',dealt,,
rhododendron-horizon-monarch,Horizon Monarch Rhododendron,Rhododendron 'Horizon Monarch',dealt,,
acer-palmatum-osakazuki,Ōsakazuki Japanese Maple,Acer palmatum 'Ōsakazuki',dealt,,
musa-basjoo,Japanese Banana,Musa basjoo,dealt,,
cornus-controversa-variegata,Wedding Cake Tree,Cornus controversa 'Variegata',dealt,,
olea-europaea,Common Olive,Olea europaea,dealt,,
acer-palmatum-bloodgood,Bloodgood Japanese Maple,Acer palmatum 'Bloodgood',dealt,,
salvia-hot-lips,Hot Lips Sage,Salvia 'Hot Lips',dealt,,
magnolia-honey-tulip-jurmag5,Honey Tulip Magnolia,Magnolia HONEY TULIP ('Jurmag5'),dealt,,
eryngium-olivierianum-big-blue-myersblue,Big Blue Sea Holly,Eryngium × olivierianum BIG BLUE ('Myersblue'),dealt,,
lonicera-purpusii-winter-beauty,Winter Beauty Honeysuckle,Lonicera × purpusii 'Winter Beauty',dealt,,
euonymus-alatus,Winged Spindle,Euonymus alatus,dealt,,
ligularia-treasure-island,Bigleaf golden ray 'Treasure Island',Ligularia 'Treasure Island',dealt,,
hylotelephium-dream-dazzler,Dream Dazzler Stonecrop,Hylotelephium 'Dream Dazzler',dealt,mildew,
hydrangea-aspera-rosemary-foster,Rosemary Foster Rough-Leaved Hydrangea,Hydrangea aspera 'Rosemary Foster',dealt,,
ginkgo-biloba,Maidenhair Tree,Ginkgo biloba,dealt,,
cordyline-australis-charlie-boy-ric01,Cabbage palm Charlie Boy,Cordyline australis CHARLIE BOY ('Ric01'),dealt,,
oenothera-lindheimeri-gaudi-rose-florgaucomro,Gaura 'Gaudi Rose',Oenothera lindheimeri GAUDI ROSE ('Florgaucomro'),dealt,,
hydrangea-paniculata-wim-s-red,Panicled hydrangea 'Wim’s Red',Hydrangea paniculata 'Wim’s Red',dealt,,
rhododendron-gartendirektor-glocker,Dwarf rhododendron 'Gartendirektor Glocker',Rhododendron 'Gartendirektor Glocker',dealt,,
acer-shirasawanum-moonrise-munn-001,Shirasawa maple Moonrise,Acer shirasawanum MOONRISE ('Munn 001'),dealt,,
callistemon-citrinus-splendens,Crimson bottlebrush 'Splendens',Callistemon citrinus 'Splendens',dealt,,
hydrangea-arborescens-pink-annabelle,Pink Annabelle Hydrangea,Hydrangea arborescens 'Pink Annabelle',dealt,,
pittosporum-tenuifolium-elizabeth,Pittosporum 'Elizabeth',Pittosporum tenuifolium 'Elizabeth',dealt,,
osmanthus-heterophyllus-goshiki,Goshiki Holly Olive,Osmanthus heterophyllus 'Goshiki',dealt,,
cercis-canadensis-eternal-flame,Eastern Redbud,Cercis canadensis 'Eternal Flame',dealt,,
agastache-summerlong-coral,Giant Hyssop,Agastache 'Summerlong Coral',dealt,,
yucca-gloriosa-variegata,Variegated Spanish Dagger,Yucca gloriosa 'Variegata',dealt,,
alstroemeria-indian-summer-tesronto,Peruvian lily 'Indian Summer',Alstroemeria INDIAN SUMMER ('Tesronto'),dealt,,
cornus-kousa-flower-tower-zuilb1,Kousa Dogwood 'Flower Tower',Cornus kousa FLOWER TOWER ('Zuilb1'),dealt,,
uncinia-everflame,Everflame Red Hook Sedge,Uncinia 'Everflame',dealt,,
camellia-japonica-doctor-king,Doctor King Camellia,Camellia japonica 'Doctor King',dealt,,
caryopteris-clandonensis-worcester-gold,Bluebeard 'Worcester Gold',Caryopteris × clandonensis 'Worcester Gold',dealt,,
achillea-millefolium-summer-fruits-lemon,Summer Fruits Lemon Yarrow,Achillea millefolium 'Summer Fruits Lemon',dealt,,
achillea-the-beacon,Fanal Yarrow,Achillea 'The Beacon',dealt,,
leucothoe-fontanesiana-whitewater-howw,Whitewater Dog Hobble,Leucothoe fontanesiana WHITEWATER ('Howw'),dealt,,
hydrangea-daredevil-jpd01,Daredevil Hydrangea,Hydrangea DAREDEVIL ('Jpd01'),dealt,,
rhaphiolepis-delacourii-enchantress-moness,Enchantress Indian Hawthorn,Rhaphiolepis × delacourii ENCHANTRESS ('Moness'),dealt,,
philadelphus-petite-perfume-pink-p1,Petite Perfume Pink Mock Orange,Philadelphus PETITE PERFUME PINK ('P1'),dealt,,
phlomis-italica,Balearic Island Sage,Phlomis italica,dealt,,
scabiosa-columbaria-flutter-pure-white-balflutturite,Flutter Pure White Small Scabious,Scabiosa columbaria FLUTTER PURE WHITE ('Balflutturite'),dealt,,
cotoneaster-atropurpureus-variegatus,Variegated Wall Cotoneaster,Cotoneaster atropurpureus 'Variegatus',dealt,,
